benchmark cores inputsize label label1core median median_factor offset slowdown_factor stdev stdev_factor wcet wcet1core wcet_median_factor
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 27842.0 1.3399749735296949 0.0 1.3338188402944533 1752.4827199357703 2.6331167313355457 33883.0 25403.0 1.2169743552905683
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20927.0 1.00717104629897 1.0 0.8508443884580561 136.7730132111486 0.20550234554932006 21614.0 25403.0 1.0328284034978736
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20944.0 1.0079892193666378 2.0 0.8467897492422155 151.82099556345145 0.22811203730487864 21511.0 25403.0 1.027072192513369
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20937.0 1.0076523245740687 3.0 0.8381687202298941 89.72880683208763 0.1348181182414195 21292.0 25403.0 1.0169556287911352
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20952.5 1.0083983059004717 4.0 0.8524977364878163 190.25857378304727 0.2858647495973833 21656.0 25403.0 1.0335759455912181
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20954.0 1.0084704976417365 5.0 0.8430106680313348 138.67206360507245 0.20835568116798656 21415.0 25403.0 1.02200057268302
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20948.0 1.0081817306766772 6.0 0.843522418611975 133.2791163579013 0.20025274271033558 21428.0 25403.0 1.0229138819935077
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20967.5 1.0091202233131196 7.0 0.8410817619966146 92.15258863340075 0.1384598662264599 21366.0 25403.0 1.0190056039108144
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20954.0 1.0084704976417365 8.0 0.843601149470535 146.16072925211526 0.2196074502075859 21430.0 25403.0 1.0227164264579556
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20953.0 1.0084223698142265 9.0 0.8565130102743771 169.03471929319858 0.25397576962347523 21758.0 25403.0 1.0384193194291986
malardalenmatmult 4.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 21354.0 1.027721628645683 10.0 0.8463567295201354 282.6753143331292 0.4247215058037073 21500.0 25403.0 1.0068371265336704
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 363997.0 1.174225537035185 0.0 1.2273046162480707 8457.911456789117 5.148446500220086 384868.0 313588.0 1.0573383846570164
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 312879.0 1.0093229114581486 1.0 1.0143149610316722 1869.5350692356749 1.1380115922730583 318077.0 313588.0 1.016613451206377
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 310193.0 1.000658087867634 2.0 0.9988775080679108 1236.2235431229299 0.75250619571952 313236.0 313588.0 1.009810021502742
malardalenmatmult 4.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 310019.5 1.0000983905880532 3.0 1.001186269882776 1372.7055953220947 0.8355846894561287 313960.0 313588.0 1.0127104907917082
